mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_precision	mean_test_recall	model	param_C	param_bootstrap	param_fit_intercept	param_gamma	param_kernel	param_l1_ratio	param_max_depth	param_max_features	param_min_samples_leaf	param_min_samples_split	param_multi_class	param_n_estimators	param_n_neighbors	param_p	param_penalty	param_solver	param_tol	param_weights	params	rank_test_accuracy	rank_test_precision	rank_test_recall	split0_test_accuracy	split0_test_precision	split0_test_recall	split1_test_accuracy	split1_test_precision	split1_test_recall	split2_test_accuracy	split2_test_precision	split2_test_recall	split3_test_accuracy	split3_test_precision	split3_test_recall	split4_test_accuracy	split4_test_precision	split4_test_recall	std_fit_time	std_score_time	std_test_accuracy	std_test_precision	std_test_recall
33.47660665512085	2326.293116950989	0.8359945438497954	0.8359945438497954	0.8359945438497954	KNeighbors													2	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 2}	23	23	23	0.5396317053642914	0.5396317053642914	0.5396317053642914	0.9182692307692307	0.9182692307692307	0.9182692307692307	0.9037304452466908	0.9037304452466908	0.9037304452466908	0.9128163921253516	0.9128163921253516	0.9128163921253516	0.906312826698834	0.906312826698834	0.906312826698834	1.2354137712930644	23.86858868576693	0.1484689064851021	0.1484689064851021	0.1484689064851021
35.674065017700194	2312.1475126266478	0.8210703682901388	0.8210703682901388	0.8210703682901388	KNeighbors													2	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 2}	26	26	26	0.46957566052842276	0.46957566052842276	0.46957566052842276	0.8982371794871795	0.8982371794871795	0.8982371794871795	0.9105495387083835	0.9105495387083835	0.9105495387083835	0.9196464443551627	0.9196464443551627	0.9196464443551627	0.9083232810615199	0.9083232810615199	0.9083232810615199	1.7893673962982688	29.592818745986747	0.17611701107409136	0.17611701107409136	0.17611701107409136
34.091709184646604	445.8276686191559	0.8786006579475246	0.8786006579475246	0.8786006579475246	KNeighbors													2	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 2}	9	9	9	0.7433947157726181	0.7433947157726181	0.7433947157726181	0.9274839743589743	0.9274839743589743	0.9274839743589743	0.8941034897713598	0.8941034897713598	0.8941034897713598	0.9248694254720772	0.9248694254720772	0.9248694254720772	0.9034981905910736	0.9034981905910736	0.9034981905910736	0.6519685831058125	18.838050552076744	0.06886169630770772	0.06886169630770772	0.06886169630770772
34.81572208404541	446.096117401123	0.8681697825563669	0.8681697825563669	0.8681697825563669	KNeighbors													2	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 2}	12	12	12	0.6877502001601281	0.6877502001601281	0.6877502001601281	0.9154647435897436	0.9154647435897436	0.9154647435897436	0.901323706377858	0.901323706377858	0.901323706377858	0.9300924065889916	0.9300924065889916	0.9300924065889916	0.9067149175713711	0.9067149175713711	0.9067149175713711	0.8841400671742847	19.492780384944798	0.09085398344118681	0.09085398344118681	0.09085398344118681
36.278936576843265	2344.243838071823	0.8430554441145791	0.8430554441145791	0.8430554441145791	KNeighbors													5	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 5}	20	20	20	0.5404323458767014	0.5404323458767014	0.5404323458767014	0.921073717948718	0.921073717948718	0.921073717948718	0.9105495387083835	0.9105495387083835	0.9105495387083835	0.9256729610285255	0.9256729610285255	0.9256729610285255	0.9183755528749498	0.9183755528749498	0.9183755528749498	0.8247400033845109	31.697558992240182	0.15159594195776427	0.15159594195776427	0.15159594195776427
34.23767981529236	2351.5215722084045	0.8439380566476771	0.8439380566476771	0.8439380566476771	KNeighbors													5	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 5}	19	19	19	0.5324259407526021	0.5324259407526021	0.5324259407526021	0.9234775641025641	0.9234775641025641	0.9234775641025641	0.9117529081427999	0.9117529081427999	0.9117529081427999	0.9325030132583367	0.9325030132583367	0.9325030132583367	0.9203860072376358	0.9203860072376358	0.9203860072376358	1.082681205673981	37.547735652038256	0.156107888096944	0.156107888096944	0.156107888096944
28.182793807983398	474.33591690063474	0.8895931958597448	0.8895931958597448	0.8895931958597448	KNeighbors													5	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 5}	4	4	4	0.7614091273018415	0.7614091273018415	0.7614091273018415	0.9334935897435898	0.9334935897435898	0.9334935897435898	0.9149618933012434	0.9149618933012434	0.9149618933012434	0.9280835676978706	0.9280835676978706	0.9280835676978706	0.9103337354242059	0.9103337354242059	0.9103337354242059	6.226113093257136	17.646209466594357	0.0647284669308645	0.0647284669308645	0.0647284669308645
23.099553060531616	476.1813479423523	0.8871860707694776	0.8871860707694776	0.8871860707694776	KNeighbors													5	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 5}	6	6	6	0.7510008006405124	0.7510008006405124	0.7510008006405124	0.9326923076923077	0.9326923076923077	0.9326923076923077	0.9133574007220217	0.9133574007220217	0.9133574007220217	0.928887103254319	0.928887103254319	0.928887103254319	0.9103337354242059	0.9103337354242059	0.9103337354242059	0.14500373850236298	17.67886175829799	0.06872608362986546	0.06872608362986546	0.06872608362986546
24.160620832443236	2366.2344768047333	0.8484313568161759	0.8484313568161759	0.8484313568161759	KNeighbors													10	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 10}	18	18	18	0.5736589271417134	0.5736589271417134	0.5736589271417134	0.9206730769230769	0.9206730769230769	0.9206730769230769	0.9085439229843562	0.9085439229843562	0.9085439229843562	0.920048212133387	0.920048212133387	0.920048212133387	0.9199839163650985	0.9199839163650985	0.9199839163650985	1.2335936803320726	33.44750706921503	0.13764691796516676	0.13764691796516676	0.13764691796516676
23.499594688415527	2372.494473743439	0.8493942068522827	0.8493942068522827	0.8493942068522827	KNeighbors													10	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 10}	16	16	16	0.5624499599679744	0.5624499599679744	0.5624499599679744	0.9190705128205128	0.9190705128205128	0.9190705128205128	0.9113517849979944	0.9113517849979944	0.9113517849979944	0.9337083165930092	0.9337083165930092	0.9337083165930092	0.9211901889827101	0.9211901889827101	0.9211901889827101	0.1578119739700513	38.192598077785384	0.1438456313116073	0.1438456313116073	0.1438456313116073
24.214094638824463	506.9209638595581	0.890315333386825	0.890315333386825	0.890315333386825	KNeighbors													10	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 10}	2	2	2	0.7774219375500401	0.7774219375500401	0.7774219375500401	0.9302884615384616	0.9302884615384616	0.9302884615384616	0.9073405535499398	0.9073405535499398	0.9073405535499398	0.928887103254319	0.928887103254319	0.928887103254319	0.9079211901889828	0.9079211901889828	0.9079211901889828	0.09176572187833551	17.779161406899718	0.057371364266257524	0.057371364266257524	0.057371364266257524
23.93348526954651	502.80187249183655	0.8895129583567359	0.8895129583567359	0.8895129583567359	KNeighbors													10	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 10}	5	5	5	0.7690152121697358	0.7690152121697358	0.7690152121697358	0.9314903846153846	0.9314903846153846	0.9314903846153846	0.9081427998395507	0.9081427998395507	0.9081427998395507	0.9292888710325432	0.9292888710325432	0.9292888710325432	0.9099316445516686	0.9099316445516686	0.9099316445516686	0.2528183756222829	17.85045808190373	0.0610878406360026	0.0610878406360026	0.0610878406360026
23.05205626487732	2401.9985886096956	0.8490732568402471	0.8490732568402471	0.8490732568402471	KNeighbors													25	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 25}	17	17	17	0.5828662930344275	0.5828662930344275	0.5828662930344275	0.9130608974358975	0.9130608974358975	0.9130608974358975	0.9137585238668271	0.9137585238668271	0.9137585238668271	0.9156287665729208	0.9156287665729208	0.9156287665729208	0.9207880981101729	0.9207880981101729	0.9207880981101729	0.08534045257431808	35.72338736660528	0.13331108983684004	0.13331108983684004	0.13331108983684004
23.27567958831787	2402.132480239868	0.8502768193853807	0.8502768193853807	0.8502768193853807	KNeighbors													25	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 25}	15	15	15	0.5824659727782225	0.5824659727782225	0.5824659727782225	0.9126602564102564	0.9126602564102564	0.9126602564102564	0.9157641395908543	0.9157641395908543	0.9157641395908543	0.9184411410204901	0.9184411410204901	0.9184411410204901	0.9227985524728589	0.9227985524728589	0.9227985524728589	1.1647568728857294	36.112301544579076	0.1341279681468473	0.1341279681468473	0.1341279681468473
23.63121943473816	547.9211141586304	0.8909572334108963	0.8909572334108963	0.8909572334108963	KNeighbors													25	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 25}	1	1	1	0.789031224979984	0.789031224979984	0.789031224979984	0.9302884615384616	0.9302884615384616	0.9302884615384616	0.9049338146811071	0.9049338146811071	0.9049338146811071	0.9296906388107674	0.9296906388107674	0.9296906388107674	0.9010856453558505	0.9010856453558505	0.9010856453558505	0.7260769027435995	18.29920985186782	0.05245248091468709	0.05245248091468709	0.05245248091468709
23.476060247421266	549.3939013004303	0.8896734333627537	0.8896734333627537	0.8896734333627537	KNeighbors													25	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 25}	3	3	3	0.7806244995996797	0.7806244995996797	0.7806244995996797	0.9298878205128205	0.9298878205128205	0.9298878205128205	0.9069394304051344	0.9069394304051344	0.9069394304051344	0.9292888710325432	0.9292888710325432	0.9292888710325432	0.9018898271009248	0.9018898271009248	0.9018898271009248	0.21874263108233047	18.473191508178385	0.055769200872463044	0.055769200872463044	0.055769200872463044
23.482562208175658	2440.1191585540773	0.8396854689882051	0.8396854689882051	0.8396854689882051	KNeighbors													50	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 50}	22	22	22	0.5740592473979184	0.5740592473979184	0.5740592473979184	0.9078525641025641	0.9078525641025641	0.9078525641025641	0.9021259526674689	0.9021259526674689	0.9021259526674689	0.9067898754519887	0.9067898754519887	0.9067898754519887	0.9083232810615199	0.9083232810615199	0.9083232810615199	0.20776369217020324	34.99927561733566	0.13301108179313795	0.13301108179313795	0.13301108179313795
24.736207675933837	2436.365670442581	0.8409692690363476	0.8409692690363476	0.8409692690363476	KNeighbors													50	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 50}	21	21	21	0.5728582866293035	0.5728582866293035	0.5728582866293035	0.9082532051282052	0.9082532051282052	0.9082532051282052	0.9033293221018853	0.9033293221018853	0.9033293221018853	0.907191643230213	0.907191643230213	0.907191643230213	0.9139525532770406	0.9139525532770406	0.9139525532770406	1.4570023170428184	31.236263415033694	0.13428000125154338	0.13428000125154338	0.13428000125154338
23.843797874450683	595.7652187824249	0.8837358581400947	0.8837358581400947	0.8837358581400947	KNeighbors													50	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 50}	8	8	8	0.7870296236989591	0.7870296236989591	0.7870296236989591	0.9258814102564102	0.9258814102564102	0.9258814102564102	0.8989169675090253	0.8989169675090253	0.8989169675090253	0.9216552832462837	0.9216552832462837	0.9216552832462837	0.8854041013268998	0.8854041013268998	0.8854041013268998	0.1760218168352881	19.174534160026653	0.05063617809426987	0.05063617809426987	0.05063617809426987
25.951579904556276	599.2394947052002	0.8845382331701838	0.8845382331701838	0.8845382331701838	KNeighbors													50	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 50}	7	7	7	0.7858286629303443	0.7858286629303443	0.7858286629303443	0.9258814102564102	0.9258814102564102	0.9258814102564102	0.8989169675090253	0.8989169675090253	0.8989169675090253	0.9240658899156288	0.9240658899156288	0.9240658899156288	0.8882187374346603	0.8882187374346603	0.8882187374346603	3.194866629827865	20.247101823077777	0.051491268331625595	0.051491268331625595	0.051491268331625595
23.646058654785158	2447.9530058383943	0.8227553558533258	0.8227553558533258	0.8227553558533258	KNeighbors													100	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 100}	25	25	25	0.55564451561249	0.55564451561249	0.55564451561249	0.8986378205128205	0.8986378205128205	0.8986378205128205	0.8848776574408344	0.8848776574408344	0.8848776574408344	0.8871032543190036	0.8871032543190036	0.8871032543190036	0.8882187374346603	0.8882187374346603	0.8882187374346603	0.1765909884699966	26.584324835474128	0.13382008164148282	0.13382008164148282	0.13382008164148282
23.762359523773192	2389.0927600860596	0.824279868410495	0.824279868410495	0.824279868410495	KNeighbors													100	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 100}	24	24	24	0.5568454763811049	0.5568454763811049	0.5568454763811049	0.8998397435897436	0.8998397435897436	0.8998397435897436	0.8864821500200561	0.8864821500200561	0.8864821500200561	0.8883085576536762	0.8883085576536762	0.8883085576536762	0.8906312826698833	0.8906312826698833	0.8906312826698833	0.25773227568296536	12.956285077352453	0.13397708520321294	0.13397708520321294	0.13397708520321294
24.065749216079713	662.0770161628723	0.8709780951616786	0.8709780951616786	0.8709780951616786	KNeighbors													100	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 100}	11	11	11	0.7770216172938351	0.7770216172938351	0.7770216172938351	0.9046474358974359	0.9046474358974359	0.9046474358974359	0.8884877657440834	0.8884877657440834	0.8884877657440834	0.9112093210124548	0.9112093210124548	0.9112093210124548	0.8737434660233213	0.8737434660233213	0.8737434660233213	0.057493579507176595	22.714720366803693	0.04881105818121228	0.04881105818121228	0.04881105818121228
23.42363953590393	660.5091931819916	0.8734654577549547	0.8734654577549547	0.8734654577549547	KNeighbors													100	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 100}	10	10	10	0.7798238590872698	0.7798238590872698	0.7798238590872698	0.9086538461538461	0.9086538461538461	0.9086538461538461	0.8900922583233053	0.8900922583233053	0.8900922583233053	0.9128163921253516	0.9128163921253516	0.9128163921253516	0.8761560112585445	0.8761560112585445	0.8761560112585445	0.27121585867628056	20.47593979148116	0.04869832573339772	0.04869832573339772	0.04869832573339772
26.174216508865356	2153.061174297333	0.7757361790901067	0.7757361790901067	0.7757361790901067	KNeighbors													200	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 200}	28	28	28	0.5040032025620497	0.5040032025620497	0.5040032025620497	0.8681891025641025	0.8681891025641025	0.8681891025641025	0.8415563578018451	0.8415563578018451	0.8415563578018451	0.8336681398151868	0.8336681398151868	0.8336681398151868	0.8319260152794532	0.8319260152794532	0.8319260152794532	3.0557054256106317	43.73552602227167	0.13666926392773046	0.13666926392773046	0.13666926392773046
23.623639011383055	2040.1216399669647	0.7791061542164808	0.7791061542164808	0.7791061542164808	KNeighbors													200	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 200}	27	27	27	0.5088070456365092	0.5088070456365092	0.5088070456365092	0.8717948717948718	0.8717948717948718	0.8717948717948718	0.8435619735258725	0.8435619735258725	0.8435619735258725	0.8368822820409804	0.8368822820409804	0.8368822820409804	0.8351427422597507	0.8351427422597507	0.8351427422597507	0.24100418688793263	18.76649613745366	0.13597376985954693	0.13597376985954693	0.13597376985954693
24.566016721725465	705.7057508468628	0.8527641819786568	0.8527641819786568	0.8527641819786568	KNeighbors													200	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 200}	14	14	14	0.7393915132105685	0.7393915132105685	0.7393915132105685	0.8862179487179487	0.8862179487179487	0.8862179487179487	0.8760529482551144	0.8760529482551144	0.8760529482551144	0.8947368421052632	0.8947368421052632	0.8947368421052632	0.8677121029352634	0.8677121029352634	0.8677121029352634	1.6184653236582136	31.440557763884655	0.05749163525058366	0.05749163525058366	0.05749163525058366
23.020030546188355	706.2246922492981	0.8558934445960041	0.8558934445960041	0.8558934445960041	KNeighbors													200	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 200}	13	13	13	0.7413931144915933	0.7413931144915933	0.7413931144915933	0.8890224358974359	0.8890224358974359	0.8890224358974359	0.8772563176895307	0.8772563176895307	0.8772563176895307	0.8999598232221776	0.8999598232221776	0.8999598232221776	0.8721351025331725	0.8721351025331725	0.8721351025331725	0.6932385549488561	25.000391567285337	0.058131644841190516	0.058131644841190516	0.058131644841190516
5370.556369972229	0.389629602432251	0.8887105833266469	0.8887105833266469	0.8887105833266469	LogisticRegression	70		True			0.25					multinomial				elasticnet	saga	0.0001		{'tol': 0.0001, 'solver': 'saga', 'penalty': 'elasticnet', 'multi_class': 'multinomial', 'l1_ratio': 0.25, 'fit_intercept': True, 'C': 70}	6	6	6	0.8434747798238591	0.8434747798238591	0.8434747798238591	0.907051282051282	0.907051282051282	0.907051282051282	0.901323706377858	0.901323706377858	0.901323706377858	0.907191643230213	0.907191643230213	0.907191643230213	0.8845999195818255	0.8845999195818255	0.8845999195818255	108.05445746636323	0.021500793330411924	0.024102212958461745	0.024102212958461745	0.024102212958461745
45.22495441436767	0.381679630279541	0.7409131027842414	0.7409131027842414	0.7409131027842414	LogisticRegression	50		True			0.0					multinomial				elasticnet	saga	1		{'tol': 1, 'solver': 'saga', 'penalty': 'elasticnet', 'multi_class': 'multinomial', 'l1_ratio': 0.0, 'fit_intercept': True, 'C': 50}	43	43	43	0.7461969575660529	0.7461969575660529	0.7461969575660529	0.7487980769230769	0.7487980769230769	0.7487980769230769	0.7440834336141195	0.7440834336141195	0.7440834336141195	0.7480916030534351	0.7480916030534351	0.7480916030534351	0.717330116606353	0.717330116606353	0.717330116606353	1.9436358410174552	0.008183622034740053	0.011888263347995934	0.011888263347995934	0.011888263347995934
