mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_precision	mean_test_recall	model	param_C	param_activation	param_bootstrap	param_fit_intercept	param_gamma	param_hidden_layer_sizes	param_kernel	param_l1_ratio	param_learning_rate	param_max_depth	param_max_features	param_min_samples_leaf	param_min_samples_split	param_multi_class	param_n_estimators	param_n_neighbors	param_p	param_penalty	param_solver	param_tol	param_weights	params	rank_test_accuracy	rank_test_precision	rank_test_recall	split0_test_accuracy	split0_test_precision	split0_test_recall	split1_test_accuracy	split1_test_precision	split1_test_recall	split2_test_accuracy	split2_test_precision	split2_test_recall	split3_test_accuracy	split3_test_precision	split3_test_recall	split4_test_accuracy	split4_test_precision	split4_test_recall	std_fit_time	std_score_time	std_test_accuracy	std_test_precision	std_test_recall
0.2931868076324463	50.739153146743774	0.7837222538417757	0.7837222538417757	0.7837222538417757	KNeighbors																2	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 2}	13	13	13	0.765867418899859	0.765867418899859	0.765867418899859	0.7829787234042553	0.7829787234042553	0.7829787234042553	0.7560627674750356	0.7560627674750356	0.7560627674750356	0.6875891583452212	0.6875891583452212	0.6875891583452212	0.9269340974212035	0.9269340974212035	0.9269340974212035	0.04883901849145054	0.3408830542246396	0.07832331387316657	0.07832331387316657	0.07832331387316657
0.29478964805603025	50.94848103523255	0.7393284006829823	0.7393284006829823	0.7393284006829823	KNeighbors																2	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 2}	18	18	18	0.7122708039492243	0.7122708039492243	0.7122708039492243	0.7375886524822695	0.7375886524822695	0.7375886524822695	0.7261055634807418	0.7261055634807418	0.7261055634807418	0.651925820256776	0.651925820256776	0.651925820256776	0.8696275071633238	0.8696275071633238	0.8696275071633238	0.05005501859689249	0.4056914908866316	0.07127068258245409	0.07127068258245409	0.07127068258245409
0.3196572303771973	50.8914315700531	0.8807626636311895	0.8807626636311895	0.8807626636311895	KNeighbors																2	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 2}	1	1	1	0.92524682651622	0.92524682651622	0.92524682651622	0.8879432624113475	0.8879432624113475	0.8879432624113475	0.7646219686162625	0.7646219686162625	0.7646219686162625	0.8801711840228246	0.8801711840228246	0.8801711840228246	0.9455587392550143	0.9455587392550143	0.9455587392550143	0.0205319083091699	1.036536654623445	0.0627253368809619	0.0627253368809619	0.0627253368809619
0.3654080867767334	51.08316941261292	0.838360842344906	0.838360842344906	0.838360842344906	KNeighbors																2	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 2}	8	8	8	0.8871650211565585	0.8871650211565585	0.8871650211565585	0.8170212765957446	0.8170212765957446	0.8170212765957446	0.7360912981455064	0.7360912981455064	0.7360912981455064	0.8216833095577746	0.8216833095577746	0.8216833095577746	0.9297994269340975	0.9297994269340975	0.9297994269340975	0.044523090465173075	1.2906005691463756	0.06614117183840168	0.06614117183840168	0.06614117183840168
0.42026119232177733	51.59376683235168	0.7450199203187251	0.7450199203187251	0.7450199203187251	KNeighbors																5	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 5}	15	15	15	0.7165021156558533	0.7165021156558533	0.7165021156558533	0.7333333333333333	0.7333333333333333	0.7333333333333333	0.7203994293865906	0.7203994293865906	0.7203994293865906	0.6690442225392297	0.6690442225392297	0.6690442225392297	0.8868194842406877	0.8868194842406877	0.8868194842406877	0.024836656125112454	0.4084150104538397	0.07387742630398954	0.07387742630398954	0.07387742630398954
0.40413742065429686	51.27009744644165	0.744735344336938	0.744735344336938	0.744735344336938	KNeighbors																5	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 5}	16	16	16	0.7150916784203103	0.7150916784203103	0.7150916784203103	0.7347517730496453	0.7347517730496453	0.7347517730496453	0.7203994293865906	0.7203994293865906	0.7203994293865906	0.6690442225392297	0.6690442225392297	0.6690442225392297	0.8853868194842407	0.8853868194842407	0.8853868194842407	0.017908954625439764	0.35194225391689754	0.0734021790315375	0.0734021790315375	0.0734021790315375
0.4179054260253906	50.80554904937744	0.8745019920318725	0.8745019920318725	0.8745019920318725	KNeighbors																5	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 5}	4	4	4	0.922425952045134	0.922425952045134	0.922425952045134	0.900709219858156	0.900709219858156	0.900709219858156	0.746077032810271	0.746077032810271	0.746077032810271	0.8502139800285307	0.8502139800285307	0.8502139800285307	0.9527220630372493	0.9527220630372493	0.9527220630372493	0.009472842624296157	0.9022679050007197	0.07227953134666153	0.07227953134666153	0.07227953134666153
0.41605587005615235	50.76544318199158	0.8727945361411497	0.8727945361411497	0.8727945361411497	KNeighbors																5	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 5}	5	5	5	0.918194640338505	0.918194640338505	0.918194640338505	0.8992907801418439	0.8992907801418439	0.8992907801418439	0.746077032810271	0.746077032810271	0.746077032810271	0.8502139800285307	0.8502139800285307	0.8502139800285307	0.9498567335243553	0.9498567335243553	0.9498567335243553	0.028404910631253208	0.7131453306560135	0.07100197138038729	0.07100197138038729	0.07100197138038729
0.4408135890960693	51.17203660011292	0.7512805919180421	0.7512805919180421	0.7512805919180421	KNeighbors																10	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 10}	14	14	14	0.6967559943582511	0.6967559943582511	0.6967559943582511	0.7375886524822695	0.7375886524822695	0.7375886524822695	0.7261055634807418	0.7261055634807418	0.7261055634807418	0.68188302425107	0.68188302425107	0.68188302425107	0.9154727793696275	0.9154727793696275	0.9154727793696275	0.029943901011152622	0.5235847670123135	0.08414037052737043	0.08414037052737043	0.08414037052737043
0.4302919864654541	51.12225570678711	0.7424587364826408	0.7424587364826408	0.7424587364826408	KNeighbors																10	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 10}	17	17	17	0.68688293370945	0.68688293370945	0.68688293370945	0.7276595744680852	0.7276595744680852	0.7276595744680852	0.7232524964336662	0.7232524964336662	0.7232524964336662	0.6733238231098431	0.6733238231098431	0.6733238231098431	0.9025787965616046	0.9025787965616046	0.9025787965616046	0.02515632095933003	0.4616810782152981	0.0823823715486988	0.0823823715486988	0.0823823715486988
